,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,FI431EL00RJ9PNAFAMZ,FileKing 32GB USB OTG Flash Drive For Android & Computers - Blue,https://www.jumia.com.ng/fileking-32gb-usb-otg-flash-drive-for-android-computers-blue-58648210.html,"₦ 2,990","₦ 5,000",40%,2022-11-02 22:49:00.352694
1,ON574EL0AQY3FNAFAMZ,Onikuma PC Gamer Stereo Headset Casque PS4 Gaming Earphones Headphones With Microphone For New Xbox One Computer Laptop Tablet,https://www.jumia.com.ng/onikuma-pc-gamer-stereo-headset-casque-ps4-gaming-earphones-headphones-with-microphone-for-new-xbox-one-computer-laptop-tablet-30435081.html,"₦ 12,108","₦ 15,190",20%,2022-11-02 22:49:00.524751
2,GE779EA0MJAS5NAFAMZ,4in1 Micro SD Card Reader Stick Pro Duo Micro SD/ Tflash/M2/MS Adapter,https://www.jumia.com.ng/generic-4in1-micro-sd-card-reader-stick-pro-duo-micro-sd-tflashm2ms-adapter-98915873.html,"₦ 4,200",,,2022-11-02 22:49:00.680997
3,TO732EA2HJZN6NAFAMZ,"TopMate Laptop Cooling Pad Gaming Notebook Cooler, Laptop Fan Cooling With 5 Quiet Fans Blue LED Light For 10-17.3 Inch Laptops",https://www.jumia.com.ng/topmate-laptop-cooling-pad-gaming-notebook-cooler-laptop-fan-cooling-with-5-quiet-fans-blue-led-light-for-10-17.3-inch-laptops-128481405.html,"₦ 7,999","₦ 15,999",50%,2022-11-02 22:49:00.868498
4,LO852EA04XLGWNAFAMZ,Logitech Mx Master 3 Advanced Wireless Mouse,https://www.jumia.com.ng/logitech-mx-master-3-advanced-wireless-mouse-63958280.html,"₦ 78,000","₦ 95,000",18%,2022-11-02 22:49:01.024747
5,GE779EA0P2A9DNAFAMZ,2.4GHz Wireless PPT Presenter Presentation Pointer Clicker,https://www.jumia.com.ng/generic-2.4ghz-wireless-ppt-presenter-presentation-pointer-clicker-90079024.html,"₦ 4,999","₦ 10,500",52%,2022-11-02 22:49:01.165373
6,HP246CL22BPVONAFAMZ,Hp Stream 14 AMD QUAD CORE - 64GB HDD- 4GB RAM Windows 11 + 32GB Flash,https://www.jumia.com.ng/pavilion-15-intel-core-i3-12gb-ram-touchscreen-10th-gen-1tb-hdd-windows-10-hp-mpg1652347.html,"₦ 129,999","₦ 190,000",32%,2022-11-02 22:49:01.368498
7,GE779EL1G9BNDNAFAMZ,Game Controller Shooter Trigger Fire Button Joystick RED,https://www.jumia.com.ng/generic-game-controller-shooter-trigger-fire-button-joystick-red-33057778.html,"₦ 2,610 - ₦ 2,950","₦ 2,998",13%,2022-11-02 22:49:01.582730
8,GE779EL0NZ8EXNAFAMZ,Controller For PUBG Joystick Fire Trigger Gamepad MULTI,https://www.jumia.com.ng/generic-controller-for-pubg-joystick-fire-trigger-gamepad-multi-33057204.html,"₦ 3,373",,,2022-11-02 22:49:01.720487
9,GE779CL034AQ9NAFAMZ,Classic Macbook Bag/Laptop Bag Suitable For 11-15.6 IncheS,https://www.jumia.com.ng/fashion-classic-macbook-baglaptop-bag-suitable-for-11-15.6-inches-77393250.html,"₦ 5,900","₦ 6,900",14%,2022-11-02 22:49:01.871491
10,SA949EL0E8WYTNAFAMZ,SanDisk 256GB Ultra OTG Dual USB Flash Drive 3.0,https://www.jumia.com.ng/256gb-ultra-otg-dual-usb-flash-drive-3.0-sandisk-mpg1662878.html,"₦ 18,000",,,2022-11-02 22:49:01.980758
11,GE779EA1WY602NAFAMZ,WiFi Adapter - 900Mbps 2.4Ghz USB - Ethernet - Black,https://www.jumia.com.ng/generic-wifi-adapter-900mbps-2.4ghz-usb-ethernet-black-107970851.html,"₦ 3,950","₦ 5,600",29%,2022-11-02 22:49:02.137009
12,GE779EL12KCQHNAFAMZ,S3 Wireless Bluetooth Gamepad Controller PC/Android BLACK,https://www.jumia.com.ng/generic-s3-wireless-bluetooth-gamepad-controller-pcandroid-black-33057746.html,"₦ 5,850","₦ 5,998",2%,2022-11-02 22:49:02.285078
13,LE842CL34GM47NAFAMZ,Hp Pavilion 15 AMD RYZEN 3 -Keyboard Light- 2.6GHz - 3.5GHz - 8GB RAM- 1TB HDD Windows 10 + Mouse,https://www.jumia.com.ng/hp-pavilion-15-amd-ryzen-3-keyboard-light-2.6ghz-3.5ghz-8gb-ram-1tb-hdd-windows-10-mouse-115129888.html,"₦ 250,000","₦ 280,000",11%,2022-11-02 22:49:02.460120
14,FA203EA3S6666NAFAMZ,"512MB/2GB/4GB/8GB/16GB/32GB/64GB Memory Card,Storage Card",https://www.jumia.com.ng/fashion-512mb2gb4gb8gb16gb32gb64gb-memory-cardstorage-card-201751782.html,"₦ 1,779 - ₦ 4,979","₦ 1,899 - ₦ 9,999",82%,2022-11-02 22:49:02.601233
15,GE779MT0B3FQQNAFAMZ,Micro USB To Type C OTG Adapter,https://www.jumia.com.ng/generic-micro-usb-to-type-c-otg-adapter-64163681.html,"₦ 1,700","₦ 3,000",43%,2022-11-02 22:49:02.763414
16,GE779EA2NWLRONAFAMZ,Mini Wireless Keyboard And Mouse Combo 2.4GHz,https://www.jumia.com.ng/generic-mini-wireless-keyboard-and-mouse-combo-2.4ghz-142748016.html,"₦ 8,500",,,2022-11-02 22:49:02.905578
17,TP471EL19FGWONAFAMZ,TP-Link Desktop Switch TL-SF1008D - 8-Port 10/100Mbps,https://www.jumia.com.ng/tp-link-desktop-switch-tl-sf1008d-8-port-10100mbps-27440367.html,"₦ 4,950","₦ 5,000",1%,2022-11-02 22:49:03.080120
18,GE779EA1ATXNCNAFAMZ,Sponge Bob Skin 01,https://www.jumia.com.ng/generic-sponge-bob-skin-01-86985687.html,"₦ 6,000","₦ 7,500",20%,2022-11-02 22:49:03.258061
19,HP246CL1WMTT9NAFAMZ,Hp Core I3 4GBRAM(windows10 And Office 2016),https://www.jumia.com.ng/hp-core-i3-4gbramwindows10-and-office-2016-175987251.html,"₦ 169,999 - ₦ 175,000",,,2022-11-02 22:49:03.380583
20,GE779EA1PBD5LNAFAMZ,Veilleuse USB Multifonctionnelle 2PCS,https://www.jumia.com.ng/generic-veilleuse-usb-multifonctionnelle-2pcs-114868920.html,"₦ 1,690","₦ 3,118",46%,2022-11-02 22:49:03.566536
21,LE842EA2NEKEZNAFAMZ,Lenovo M202 Wireless Mouse Comfortable Design Gaming Mice,https://www.jumia.com.ng/lenovo-m202-wireless-mouse-comfortable-design-gaming-mice-136134206.html,"₦ 3,099","₦ 3,990",22%,2022-11-02 22:49:03.727827
22,LO852EA24K3VUNAFAMZ,Logitech Mx Keys Advanced Wireless Illuminated Keyboard,https://www.jumia.com.ng/logitech-mx-keys-advanced-wireless-illuminated-keyboard-107988582.html,"₦ 75,000","₦ 95,000",21%,2022-11-02 22:49:03.880895
23,AI290EA1Z34CCNAFAMZ,"Airtel 4G Airtel Wifi Router LTE Wifi For Home, Office & Business",https://www.jumia.com.ng/airtel-4g-airtel-wifi-router-lte-wifi-for-home-office-business-123389391.html,"₦ 18,870","₦ 40,000",53%,2022-11-02 22:49:04.035672
