,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,AR947EA0E4H6DNAFAMZ,Arealer 320GB USB3.0 High-speed Portable Mobile Hard Drive,https://www.jumia.com.ng/320gb-usb3.0-high-speed-portable-mobile-hard-drive-arealer-mpg1642286.html,"₦ 12,950","₦ 25,392",49%,2022-11-03 15:01:20.778337
1,WO426EA1I5KH1NAFAMZ,Ace Elec Gaming Mouse 8D Adjustable Wired LED Computer Mouse,https://www.jumia.com.ng/ace-elec-gaming-mouse-8d-adjustable-wired-led-computer-mouse-77095909.html,"₦ 4,190","₦ 6,353",34%,2022-11-03 15:01:21.358046
2,YI657EA028DLDNAFAMZ,YingHD Micro SD Card TF Card Reader 5 In 1 Black,https://www.jumia.com.ng/yinghd-micro-sd-card-tf-card-reader-5-in-1-black-79005730.html,"₦ 2,090","₦ 3,529",41%,2022-11-03 15:01:22.229478
3,HX483EA2ZI8TKNAFAMZ,Hxsj T38 2.4G Wireless Mouse Rechargeable,https://www.jumia.com.ng/hxsj-t38-2.4g-wireless-mouse-rechargeable-125107508.html,"₦ 4,150","₦ 7,584",45%,2022-11-03 15:01:22.788364
4,BE484EA0NZ8SWNAFAMZ,Bestrunner 64GB USB Flash Drive With OTG For Phone/PC-Grey,https://www.jumia.com.ng/bestrunner-64gb-usb-flash-drive-with-otg-for-phonepc-grey-63557204.html,"₦ 2,850","₦ 5,174",45%,2022-11-03 15:01:23.341127
5,KU348EA1PB2GZNAFAMZ,Kuhl Flash Drive 3.0 128GB - Metal OTG Micro USB Type-C,https://www.jumia.com.ng/kuhl-flash-drive-3.0-128gb-metal-otg-micro-usb-type-c-159927920.html,"₦ 3,392","₦ 6,651",49%,2022-11-03 15:01:23.819137
6,LE842CL02DYFNNAFAMZ,Lenovo Amd Ryzen 3 1TB HDD 8GB RAM (2.6-3.4GHZ) Win 10+ Free Mouse,https://www.jumia.com.ng/lenovo-amd-ryzen-3-1tb-hdd-8gb-ram-2.6-3.4ghz-win-10-free-mouse-78301040.html,"₦ 215,500",,,2022-11-03 15:01:24.083369
7,GE779EA20EG51NAFAMZ,900*400mm Oversized Mouse Pad World Map Non-slip Keyboard Pad Desk Mat,https://www.jumia.com.ng/generic-900400mm-oversized-mouse-pad-world-map-non-slip-keyboard-pad-desk-mat-135460612.html,"₦ 2,299","₦ 4,508",49%,2022-11-03 15:01:24.536640
8,GE779EA0WZER8NAFAMZ,1pcs Ergonomic Rechargeable Silent Wireless Computer Bluetooth Mouse Silver,https://www.jumia.com.ng/generic-1pcs-ergonomic-rechargeable-silent-wireless-computer-bluetooth-mouse-silver-69799355.html,"₦ 7,680","₦ 15,059",49%,2022-11-03 15:01:24.974972
9,GE779EA10WRBANAFAMZ,Aluminum Alloy Laptop Stand 6-level Adjustable Portable,https://www.jumia.com.ng/generic-aluminum-alloy-laptop-stand-6-level-adjustable-portable-66549916.html,"₦ 7,100","₦ 13,922",49%,2022-11-03 15:01:25.424387
10,GE779EA257HODNAFAMZ,2 In 1 OTG Adapter Type C & Micro USB Male To USB3.0 Female,https://www.jumia.com.ng/generic-2-in-1-otg-adapter-type-c-micro-usb-male-to-usb3.0-female-133997692.html,"₦ 1,490","₦ 2,833",47%,2022-11-03 15:01:25.870352
11,GE779EA1GXI63NAFAMZ,"Laptop Cooler Pad RGB Gaming Cooler For 15.6-17.3 Inch Laptop, Laptop Fan Cooling Stand With 6 Quiet Fans And 5 Heights Adjustable, 2 USB Ports",https://www.jumia.com.ng/generic-laptop-cooler-pad-rgb-gaming-cooler-for-15.6-17.3-inch-laptop-laptop-fan-cooling-stand-with-6-quiet-fans-and-5-heights-adjustable-2-usb-ports-72230988.html,"₦ 7,090","₦ 13,902",49%,2022-11-03 15:01:26.342582
