,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,BI681HA1GHQ6NNAFAMZ,Binatone Digital Voltage Stablizer DVS-2001,https://www.jumia.com.ng/digital-voltage-stablizer-dvs-2001-binatone-mpg1635232.html,"₦ 38,580","₦ 45,800",16%,2022-11-03 14:42:18.265318
1,GE779EA3A2L6UNAFAMZ,Otg Type C To Type A USB 3.0 Android Flash Drive Reader,https://www.jumia.com.ng/generic-otg-type-c-to-type-a-usb-3.0-android-flash-drive-reader-126451389.html,₦ 999,"₦ 2,000",50%,2022-11-03 14:42:18.447893
2,GE779EA0FS6YUNAFAMZ,Fashion Earbuds Scorpion Stereo Bluetooth-compatible-,https://www.jumia.com.ng/generic-fashion-earbuds-scorpion-stereo-bluetooth-compatible-83690562.html,"₦ 2,870","₦ 5,627",49%,2022-11-03 14:42:18.646449
3,MK155EA241Q52NAFAMZ,MK 19 Inches Full HD LED TV,https://www.jumia.com.ng/mk-19-inches-full-hd-led-tv-105313772.html,"₦ 34,000","₦ 47,000",28%,2022-11-03 14:42:18.904486
4,SY201EA11K26QNAFAMZ,"Syinix 55"" LED Ultra HD Android 4K Version TV",https://www.jumia.com.ng/syinix-55-led-ultra-hd-android-4k-version-tv-64718036.html,"₦ 234,200","₦ 281,000",17%,2022-11-03 14:42:19.153439
5,CE125EA2IJHN8NAFAMZ,Century CVR-TUB 5000VA Automatic Voltage Stabilizer,https://www.jumia.com.ng/automatic-voltage-stabilizer-cvr-tub-5000va-century-mpg190960.html,"₦ 70,496",,,2022-11-03 14:42:19.310210
6,BA175EA2VOSSYNAFAMZ,Baofeng UV-5R Two Way Radioo Walkiee Talkiee -1PCS,https://www.jumia.com.ng/baofeng-uv-5r-two-way-radioo-walkiee-talkiee-1pcs-122575147.html,"₦ 20,340","₦ 28,656",29%,2022-11-03 14:42:19.600132
7,SC034EA2KJ8X0NAFAMZ,"Sony 55"" 4K Ultra HD Smart TV With Android OS",https://www.jumia.com.ng/sony-55-4k-ultra-hd-smart-tv-with-android-os-129622455.html,"₦ 418,605",,,2022-11-03 14:42:19.765666
8,GE779EA1JCZTUNAFAMZ,3000w Power Inverter With 50A Battery Charger,https://www.jumia.com.ng/generic-3000w-power-inverter-with-50a-battery-charger-68158929.html,"₦ 48,000",,,2022-11-03 14:42:19.902377
9,SO521EL0GUJP5NAFAMZ,Sony Rechargeable AAA R03 1.2V Battery,https://www.jumia.com.ng/sony-rechargeable-aaa-r03-1.2v-battery-56099282.html,"₦ 2,500","₦ 5,000",50%,2022-11-03 14:42:20.093389
10,DM287HA0R2YL0NAFAMZ,D Marc Fridge Guard And TV/DVD Guard Voltage Protection,https://www.jumia.com.ng/d-marc-tvdvd-guard-and-fridge-guard-voltage-protection-d-marc-mpg1264029.html,"₦ 5,300 - ₦ 10,000","₦ 8,500 - ₦ 17,000",41%,2022-11-03 14:42:20.257714
11,SK821EA1D4MMWNAFAMZ,"Skyrun 32"" LED-32XM/N68D HD TV With Free Wall Bracket - Black",https://www.jumia.com.ng/skyrun-32-led-32xmn68d-hd-tv-with-free-wall-bracket-black-44171528.html,"₦ 65,988","₦ 107,000",38%,2022-11-03 14:42:20.421987
12,BR875EA1SUTXQNAFAMZ,9Fox 32-Inch Full HD LED Television (2 Years Warranty),https://www.jumia.com.ng/9fox-32-inch-full-hd-led-television-2-years-warranty-120933980.html,"₦ 57,950","₦ 90,000",36%,2022-11-03 14:42:20.605189
13,HI550EA15DH45NAFAMZ,High Speed SVGA CABLES 1.5M,https://www.jumia.com.ng/high-speed-svga-cables-1.5m-56929496.html,"₦ 2,500","₦ 3,000",17%,2022-11-03 14:42:20.750284
14,GE779FD24BNIONAFAMZ,14 Inch Ring Light + 210CM Tripod And Bluetooth Remote.,https://www.jumia.com.ng/generic-14-inch-ring-light-210cm-tripod-and-bluetooth-remote.-121549182.html,"₦ 14,000","₦ 19,000",26%,2022-11-03 14:42:20.909466
15,GE779ST2KPQANNAFAMZ,10 Inch LED Photographic Selfie Lighting.,https://www.jumia.com.ng/generic-10-inch-led-photographic-selfie-lighting.-115152755.html,"₦ 6,470","₦ 12,686",49%,2022-11-03 14:42:21.059292
16,GE779EA1UXXCINAFAMZ,Portable Projector Mini LED Projectors Full 3D HD 1080P HDMI USB - CHS,https://www.jumia.com.ng/generic-portable-projector-mini-led-projectors-full-3d-hd-1080p-hdmi-usb-chs-122573421.html,"₦ 34,900","₦ 68,431",49%,2022-11-03 14:42:21.196774
17,RO472EA1I4PL4NAFAMZ,"Rock 55"" 4k Smart Android UHD LED TV + Free Wall Bracket-Latest Design",https://www.jumia.com.ng/rock-55-4k-smart-android-uhd-led-tv-free-wall-bracket-latest-design-84091909.html,"₦ 206,999","₦ 345,500",40%,2022-11-03 14:42:21.333132
