,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,SA492HA2I8XWMNAFAMZ,Saisho Sandwich Maker Toaster S-609 2F(6) - White,https://www.jumia.com.ng/sandwich-makertoaster-s-609-2f6-white-saisho-mpg1662351.html,"₦ 6,178",,,2022-11-03 23:33:01.420083
1,BI681HL0VAB3ONAFAMZ,Binatone 1.5L Multipurpose Blender With Smoothie Maker (BLS-360),https://www.jumia.com.ng/1.5l-multipurpose-blender-with-smoothie-maker-bls-360-binatone-mpg1673682.html,"₦ 18,590",,,2022-11-03 23:33:01.642675
2,BR369HA1PG0H8NAFAMZ,Bruhm BRS-93MMDS 93LTS Single Door Refrigerator - Silver,https://www.jumia.com.ng/bruhm-brs-93mmds-93lts-single-door-refrigerator-silver-129630230.html,"₦ 80,300",,,2022-11-03 23:33:01.882985
3,GE779HA156WFENAFAMZ,Portable Aroma Diffuser,https://www.jumia.com.ng/generic-portable-aroma-diffuser-81268196.html,"₦ 2,296","₦ 3,882",41%,2022-11-03 23:33:02.070026
4,GE779HL0OAF1ENAFAMZ,2layers Wall Soap Holder/Box -,https://www.jumia.com.ng/generic-2layers-wall-soap-holderbox-43869704.html,"₦ 2,138","₦ 3,530",39%,2022-11-03 23:33:02.229422
5,BI681EL0814OZNAFAMZ,"Binatone 16-Inch Powerful Super Cool Quiet Standing Fan, Adjustable Standing , 5 Speed Setting with One Year Warranty",https://www.jumia.com.ng/16-inch-powerful-super-cool-quiet-standing-fan-a-1691-binatone-mpg1662353.html,"₦ 20,409",,,2022-11-03 23:33:02.428925
6,GE779HL09U3CANAFAMZ,Unique Designed Bed Sheet- Blue,https://www.jumia.com.ng/generic-unique-designed-bed-sheet-blue-45502561.html,"₦ 3,499 - ₦ 5,949","₦ 4,500 - ₦ 9,500",37%,2022-11-03 23:33:02.667508
7,PH908HL0U47SXNAFAMZ,Philips Classic Dry Iron - HD1172 Grey,https://www.jumia.com.ng/philips-classic-dry-iron-hd1172-grey-71258505.html,"₦ 11,000","₦ 16,000",31%,2022-11-03 23:33:02.831146
8,BI681HA25ZUUUNAFAMZ,Binatone Smooth Gliding Steam Iron - SI-1830,https://www.jumia.com.ng/binatone-smooth-gliding-steam-iron-si-1830-128330013.html,"₦ 6,534",,,2022-11-03 23:33:02.961622
9,GE779FD00EXOXNAFAMZ,15mm*5m Glow In The Dark Tape Luminous Tape Self-adhesive,https://www.jumia.com.ng/15mm5m-glow-in-the-dark-tape-luminous-tape-self-adhesive-generic-mpg1676890.html,"₦ 1,899","₦ 3,724",49%,2022-11-03 23:33:03.139670
10,SC034HLSCJJKNAFAMZ,Scanfrost 6.8kg Semi-Automatic Washing Machine - SFSATT6M,https://www.jumia.com.ng/scanfrost-6.8kg-semi-automatic-washing-machine-sfsatt6m-21953648.html,"₦ 93,258",,,2022-11-03 23:33:03.267305
11,GE779FD09X0NRNAFAMZ,3D Mirror Number Wall Clock Stickers,https://www.jumia.com.ng/generic-3d-mirror-number-wall-clock-stickers-74075661.html,"₦ 2,988","₦ 5,530",46%,2022-11-03 23:33:03.427021
