,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,GE779SN1NYPCUNAFAMZ,USB Rechargeable LED Laser Flashlight High Quality Powerful,https://www.jumia.com.ng/generic-usb-rechargeable-led-laser-flashlight-high-quality-powerful-101561700.html,"₦ 2,273","₦ 3,523",35%,2022-11-03 23:37:09.824299
1,GE779FD0U3C3KNAFAMZ,Quality Fiber Pillows (3 In 1),https://www.jumia.com.ng/generic-quality-fiber-pillows-3-in-1-82144505.html,"₦ 5,499",,,2022-11-03 23:37:09.976874
2,GE779HA1TQOMUNAFAMZ,10Pcs Bamboo Wood Lid Glass Jar Airtight Kitchen Storage,https://www.jumia.com.ng/generic-10pcs-bamboo-wood-lid-glass-jar-airtight-kitchen-storage-122002401.html,"₦ 30,767","₦ 59,996",49%,2022-11-03 23:37:10.203605
3,GE779HL0BCJZMNAFAMZ,Angry Mama Microwave Deodorant,https://www.jumia.com.ng/angry-mama-microwave-deodorant-generic-mpg1254874.html,"₦ 2,500","₦ 3,000",17%,2022-11-03 23:37:10.408217
4,GE779FC0U901TNAFAMZ,Wooden Natural Stick&Cone Holder Bathroom Joss Insence,https://www.jumia.com.ng/generic-wooden-natural-stickcone-holder-bathroom-joss-insence-94480805.html,"₦ 2,741","₦ 4,112",33%,2022-11-03 23:37:10.599690
5,GE779HA2O8ZG3NAFAMZ,Hollow Cake Desserts Biscuits Cutter Donut Mold With-Yellow,https://www.jumia.com.ng/generic-hollow-cake-desserts-biscuits-cutter-donut-mold-with-yellow-132326616.html,"₦ 4,433","₦ 8,866",50%,2022-11-03 23:37:10.749161
6,GE779HA31R16INAFAMZ,Rotatable Desktop Kitchen Storage Tray Multifunctional Plastic Round Storage Cabinet Spice Bottle Bath Cosmetics Makeup Rack Blue,https://www.jumia.com.ng/generic-rotatable-desktop-kitchen-storage-tray-multifunctional-plastic-round-storage-cabinet-spice-bottle-bath-cosmetics-makeup-rack-blue-168393348.html,"₦ 15,690","₦ 31,370",50%,2022-11-03 23:37:10.888082
7,GE779BN39FGUPNAFAMZ,Kings Duvet/ Comforter 6 Piece Complete Set- Multicolour,https://www.jumia.com.ng/generic-kings-duvet-comforter-6-piece-complete-set-multicolour-135763279.html,"₦ 16,500 - ₦ 21,800","₦ 20,000 - ₦ 30,000",37%,2022-11-03 23:37:11.082975
8,GE779HL03X6XFNAFAMZ,"Non-stick Masa, Paddu Or Sweet Cakes Maker",https://www.jumia.com.ng/generic-non-stick-masa-paddu-or-sweet-cakes-maker-57478560.html,"₦ 12,800",,,2022-11-03 23:37:11.202863
9,GE779BN16KOFLNAFAMZ,Bathroom Kitchen Supplies Car Wash Microfiber Towel Hand Face Shower Washcloth-Purple,https://www.jumia.com.ng/generic-bathroom-kitchen-supplies-car-wash-microfiber-towel-hand-face-shower-washcloth-purple-75680517.html,₦ 670,"₦ 1,340",50%,2022-11-03 23:37:11.353530
10,GE779HA0CCOHINAFAMZ,30A Brushless Motor ESC For Airplane,https://www.jumia.com.ng/generic-30a-brushless-motor-esc-for-airplane-89964702.html,"₦ 13,200","₦ 17,600",25%,2022-11-03 23:37:11.488325
11,GE779SN2ZI68HNAFAMZ,T-Shirt Ruler Alignment Tool Silhouette Designs Heat Press,https://www.jumia.com.ng/generic-t-shirt-ruler-alignment-tool-silhouette-designs-heat-press-110866508.html,"₦ 4,211","₦ 5,053",17%,2022-11-03 23:37:11.618501
